# list of attributes that may be useful
# format of this file: anything with a # symbol is ignored
# first line without # will be the name of this "attribute"
# anything else will be values to use
# if you have any useful contributions like this for PHPlist, send them to me, 
# and I can include them in next versions. That will save others in collecting 
# the information
Woonplaats:Cities of Belgium
1800 Vilvoorde
4520 Vinalmont
9921 Vinderhoute
8630 Vinkem
9800 Vinkt
6461 Virelles
1460 Virginal-Samme
5670 Viroinval
6760 Virton
4600 Visé
3300 Vissenaken
5070 Vitrival
4683 Vivegnis
6833 Vivy
1011 Vlaamse Raad - Vlaams Parlement
8600 Vladslo
8908 Vlamertinge
9420 Vlekkem
8640 Vleteren
1602 Vlezenbeek
3724 Vliermaal
3721 Vliermaalroot
9520 Vlierzele
3770 Vlijtingen
2340 Vlimmeren
8421 Vlissegem
7880 Vloesberg
5600 Vodecée
5680 Vodelée
3790 Voeren
5650 Vogenée
9700 Volkegem
1570 Vollezele
5570 Vonêche
9400 Voorde
8902 Voormezele
3840 Voort
4347 Voroux-Goreux
4451 Voroux-lez-Liers
2290 Vorselaar
3890 Vorsen
1190 Vorst
2430 Vorst (Kempen)
2350 Vosselaar
9850 Vosselare
3080 Vossem
4041 Vottem
9120 Vrasene
2531 Vremde
3700 Vreren
5550 Vresse-sur-Semois
3770 Vroenhoven
1043 VRT
1818 VTM
3630 Vucht
9890 Vurste
4570 Vyle-et-Tharoul
3473 Waanrode
9506 Waarbeke
8020 Waardamme
2550 Waarloos
8581 Waarmaarde
9950 Waarschoot
3401 Waasmont
9250 Waasmunster
7784 Waasten
9185 Wachtebeke
7971 Wadelincourt
6223 Wagnelée
6900 Waha
5377 Waillet
4950 Waimes
8720 Wakken
5650 Walcourt
2800 Walem
1457 Walhain
1457 Walhain-Saint-Paul
4711 Walhorn
3401 Walsbets
3401 Walshoutem
3740 Waltwilder
1741 Wambeek
5570 Wancennes
4020 Wandre
6224 Wanfercée-Baulet
3400 Wange
6220 Wangenies
5564 Wanlin
4980 Wanne
7861 Wannebecq
9772 Wannegem-Lede
4280 Wansin
4520 Wanze
9340 Wanzele
7548 Warchin
7740 Warcoing
6600 Wardin
8790 Waregem
4300 Waremme
5310 Waret-la-Chaussée
4217 Waret-l'Evêque
5080 Warisoulx
5537 Warnant
4530 Warnant-Dreye
7784 Warneton
7340 Warquignies
4608 Warsage
4590 Warzée
7340 Wasmes
7604 Wasmes-Audemez-Briffoeil
7390 Wasmuel
4219 Wasseiges
9988 Waterland-Oudeman
1410 Waterloo
1170 Watermaal-Bosvoorde
1170 Watermael-Boitsfort
9988 Watervliet
8978 Watou
7910 Wattripont
7131 Waudrez
5540 Waulsort
1440 Wauthier-Braine
1300 Wavre
5580 Wavreille
6210 Wayaux
1474 Ways
3290 Webbekom
2275 Wechelderzande
2381 Weelde
1982 Weerde
2880 Weert
4860 Wegnez
5523 Weillen
4950 Weismes
9700 Welden
4840 Welkenraedt
9473 Welle
3830 Wellen
6920 Wellin
1780 Wemmel
8420 Wenduine
5100 Wépion
4190 Werbomont
3118 Werchter
6940 Wéris
8610 Werken
3730 Werm
8940 Wervik
3150 Wespelaar
8434 Westende
2260 Westerlo
8300 Westkapelle
8460 Westkerke
2390 Westmalle
2235 Westmeerbeek
8954 Westouter
9230 Westrem
8840 Westrozebeke
8640 Westvleteren
9230 Wetteren
8560 Wevelgem
3111 Wezemaal
1970 Wezembeek-Oppem
3401 Wezeren
7620 Wez-Velvain
6666 Wibrin
9260 Wichelen
3700 Widooie (Haren)
2222 Wiekevorst
8710 Wielsbeke
5100 Wierde
7608 Wiers
5571 Wiesme
9280 Wieze
7370 Wihéries
4452 Wihogne
3990 Wijchmaal
3850 Wijer
3018 Wijgmaal (Brabant)
2110 Wijnegem
3670 Wijshagen
8953 Wijtschate
3803 Wilderen
7904 Willaupuis
3370 Willebringen
2830 Willebroek
7506 Willemeau
5575 Willerzie
2610 Wilrijk (Antwerpen)
3012 Wilsele
8431 Wilskerke
3501 Wimmertingen
5570 Winenne
8750 Wingene
3020 Winksele
3722 Wintershoven
6860 Witry
7890 Wodecq
8640 Woesten
6780 Wolkrange
1200 Woluwe-Saint-Lambert
1150 Woluwe-Saint-Pierre
1861 Wolvertem
2160 Wommelgem
3350 Wommersom
4690 Wonck
9032 Wondelgem
9800 Wontergem
9790 Wortegem
9790 Wortegem-Petegem
2323 Wortel
9550 Woubrechtegem
8600 Woumen
8670 Wulpen
8952 Wulvergem
8630 Wulveringem
2990 Wuustwezel
4652 Xhendelesse
4432 Xhendremael
4190 Xhoris
4550 Yernée-Fraineux
5650 Yves-Gomezée
5530 Yvoir
9080 Zaffelare
9506 Zandbergen
8680 Zande
2240 Zandhoven
2040 Zandvliet
8400 Zandvoorde (Oostende)
8980 Zandvoorde (Zonnebeke)
9500 Zarlardinge
8610 Zarren
1930 Zaventem
8210 Zedelgem
8380 Zeebrugge (Brugge)
9660 Zegelsem
9240 Zele
3545 Zelem
1731 Zellik
9060 Zelzate
1980 Zemst
3800 Zepperen
8490 Zerkegem
1370 Zétrud-Lumay
8470 Zevekote
9080 Zeveneken
9800 Zeveren
9840 Zevergem
3271 Zichem
3770 Zichen-Zussen-Bolder
8902 Zillebeke
9750 Zingem
2260 Zoerle-Parwijs
2980 Zoersel
3550 Zolder
9930 Zomergem
3520 Zonhoven
8980 Zonnebeke
9520 Zonnegem
9620 Zottegem
8630 Zoutenaaie
3440 Zoutleeuw
8904 Zuidschote
8377 Zuienkerke
9870 Zulte
9690 Zulzeke
3690 Zutendaal
9630 Zwalm
8550 Zwevegem
8750 Zwevezele
9052 Zwijnaarde
2070 Zwijndrecht
